epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8796,1.54806,2.90974,1.564,0.01345,0.72903,0.08457,0.0368,1.44009,3.04106,1.51783,0.00012,0.00012,0.00012
2,95.3253,1.30229,2.46679,1.38446,0.01643,0.89032,0.18194,0.09529,1.31582,2.85655,1.43393,0.000254852,0.000254852,0.000254852
3,143.363,1.32063,1.95776,1.41867,0.34927,0.24516,0.19084,0.1031,1.31829,2.75606,1.40438,0.00038416,0.00038416,0.00038416
4,191.38,1.18264,1.83827,1.35317,0.14037,0.37419,0.15693,0.07909,1.36813,2.77744,1.41772,0.000507924,0.000507924,0.000507924
5,247.856,1.25048,1.79855,1.37959,0.48613,0.09032,0.19767,0.08969,1.52532,2.63366,1.62402,0.000626144,0.000626144,0.000626144
6,309.094,1.29967,1.73155,1.35299,0.35696,0.17419,0.15574,0.0695,1.56905,2.62984,1.67982,0.00073882,0.00073882,0.00073882
7,376.966,1.29201,1.70393,1.40314,0.23662,0.15484,0.13348,0.05772,1.67747,2.7404,1.75823,0.000845952,0.000845952,0.000845952
8,437.432,1.25456,1.67675,1.38142,0.19001,0.14194,0.08751,0.03908,1.67796,2.91621,1.84445,0.00094754,0.00094754,0.00094754
9,496.799,1.27963,1.68696,1.36152,0.18203,0.22581,0.10398,0.04168,1.70385,2.90643,1.86141,0.00104358,0.00104358,0.00104358
10,547.042,1.26842,1.65495,1.3784,0.21426,0.19355,0.11463,0.03934,1.73102,2.95026,1.94222,0.00113408,0.00113408,0.00113408
11,595.623,1.20828,1.63364,1.33667,0.19984,0.16774,0.0747,0.02703,1.73697,3.2474,2.01119,0.00121904,0.00121904,0.00121904
12,641.879,1.21889,1.66868,1.3733,0.21464,0.28387,0.14683,0.05319,1.81468,2.72762,2.03056,0.00129845,0.00129845,0.00129845
13,688.106,1.26276,1.49528,1.32354,0.35605,0.32903,0.24616,0.09319,1.81147,2.50749,1.97553,0.00137232,0.00137232,0.00137232
14,734.531,1.25566,1.5293,1.3824,0.32945,0.37419,0.25906,0.09729,1.91209,2.3483,2.07487,0.00144064,0.00144064,0.00144064
15,783.168,1.22785,1.56709,1.36369,0.30056,0.31613,0.22061,0.07703,1.98516,2.5732,2.2374,0.0014456,0.0014456,0.0014456
16,830.544,1.30161,1.51886,1.36437,0.24619,0.29677,0.15147,0.05819,2.06885,2.49585,2.25848,0.001406,0.001406,0.001406
17,877.722,1.25436,1.46608,1.34535,0.26968,0.30968,0.19473,0.06928,2.04928,2.47266,2.26563,0.0013664,0.0013664,0.0013664
18,923.34,1.19523,1.42138,1.32349,0.30909,0.36129,0.24259,0.0928,1.9655,2.35099,2.20744,0.0013268,0.0013268,0.0013268
19,970.558,1.22578,1.45193,1.3515,0.30384,0.27742,0.19819,0.07434,1.92267,2.48631,2.13189,0.0012872,0.0012872,0.0012872
20,1017.04,1.28355,1.44648,1.35979,0.254,0.46452,0.25444,0.09297,1.91704,2.24377,2.09997,0.0012476,0.0012476,0.0012476
21,1062.64,1.18112,1.36731,1.30011,0.3769,0.35484,0.30031,0.11532,1.84044,2.1605,2.00472,0.001208,0.001208,0.001208
22,1108.93,1.18752,1.36405,1.30986,0.30978,0.46452,0.30247,0.1419,1.73162,2.35723,1.8972,0.0011684,0.0011684,0.0011684
23,1156.7,1.16407,1.36514,1.29976,0.30324,0.44516,0.26884,0.10956,1.86938,2.79974,1.99708,0.0011288,0.0011288,0.0011288
24,1203.45,1.10218,1.24924,1.26285,0.39134,0.46452,0.34944,0.1406,1.88245,2.30228,2.03185,0.0010892,0.0010892,0.0010892
25,1251.78,1.21052,1.38037,1.32609,0.40423,0.44516,0.37597,0.16191,1.81828,2.20203,1.96994,0.0010496,0.0010496,0.0010496
26,1297.41,1.09802,1.2542,1.23893,0.50336,0.41849,0.40844,0.17858,1.6897,2.12679,1.8524,0.00101,0.00101,0.00101
27,1344.37,1.10374,1.20893,1.23135,0.53798,0.42581,0.43796,0.20404,1.6279,2.0621,1.80342,0.0009704,0.0009704,0.0009704
28,1390.64,1.12867,1.24464,1.27235,0.48467,0.46452,0.41187,0.19663,1.63693,2.12128,1.77211,0.0009308,0.0009308,0.0009308
29,1437.13,1.10681,1.2194,1.28047,0.51235,0.47097,0.4462,0.21742,1.5709,1.93668,1.72846,0.0008912,0.0008912,0.0008912
30,1483.66,1.12395,1.20445,1.25687,0.53079,0.49677,0.43406,0.20966,1.57056,1.84265,1.72385,0.0008516,0.0008516,0.0008516
31,1529.43,1.03118,1.17365,1.19569,0.46145,0.47097,0.3943,0.18764,1.57773,1.87128,1.6662,0.000812,0.000812,0.000812
